"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/03/31","AirScreen - AirPlay & Cast & Miracast & DLNA[Androidアプリ] 販売: Amazon Services International LLC","0","Amazon.co.jp","未分類","未分類","","0","OkSlUcoXwrAJof_0u9F1DRi6JYT29IGCifhlhXX-FW8"
"1","2024/03/31","預金利息","5","楽天銀行","収入","その他入金","","0","yIpF3acxpd1hRrPpChe_2Er2AGWQ2cijk-6b-ku7gQE"
"1","2024/03/31","APPLE COM BILL","-1600","楽天カード","通信費","その他通信費","","0","4a9hXBg1BGnNsHkVyZOgHrPKBpELT7CBe0qToysncIs"
"1","2024/03/31","APPLE COM BILL","-15800","楽天カード","特別な支出","家具・家電","","0","JQbkrBMzHSOY7W3tjKSu8P3qCkG6BR4gLJOOKLb7k_8"
"1","2024/03/31","APPLE COM BILL","-3200","楽天カード","通信費","その他通信費","","0","aipW7VqtXFT_yVdNpg4Yx9H3YdWmwoEsoGGcYLSWrT4"
"1","2024/03/31","APPLE COM BILL","-1280","楽天カード","通信費","その他通信費","","0","Y2hMORhpLVt8ZwkWuiKcgSsPGzPyUQFaemS_CmRCzeA"
"1","2024/03/31","APPLE COM BILL","-15800","楽天カード","特別な支出","家具・家電","","0","oqkhJPH_6om_m-GvTSVtqGDoM7kIvj1AdaambmovbEE"
"1","2024/03/31","APPLE COM BILL","-15800","楽天カード","特別な支出","家具・家電","","0","Ro4cL0uq3WW2i4Ma2pQHzvDZexT9UiB8QvQYqCUt60s"
"1","2024/03/31","APPLE COM BILL","-3200","楽天カード","通信費","その他通信費","","0","bg0lahJanp8b_-p676FWHi5SFkn4LhKeWYcFDN6ci6A"
"1","2024/03/31","APPLE COM BILL","-15800","楽天カード","特別な支出","家具・家電","","0","Cn4IchC3jpd6xNI7nt1wqVIEX5IFUqL96Z0b-mnsuZk"
"1","2024/03/31","APPLE COM BILL","-8000","楽天カード","通信費","その他通信費","","0","OUwKLek6DpwalHbkhuWMWV9JBKN68VnqneRlBxLLZG0"
"1","2024/03/31","APPLE COM BILL","-960","楽天カード","通信費","その他通信費","","0","k0hVC4qqGjnZIQhThGggyFJ_nmR5lqtQzp2vQ4aMG7M"
"1","2024/03/31","APPLE COM BILL","-4960","楽天カード","通信費","その他通信費","","0","FnzaDYXOn8fb_qUR5mfK-OfKbPPoFkMsNVyU9Js7Oz4"
"1","2024/03/31","APPLE COM BILL","-2560","楽天カード","通信費","その他通信費","","0","DvN1JY0pCva9NTOMaqOAjh4BC11ClLpwbVyolsGsr9k"
"1","2024/03/31","新入学者様用Chromebook購入サイ","-42350","三井住友カード","未分類","未分類","","0","AUPlxM1WLqbvEDcZbWm3NNtZHLuxwDTLUB7F05WfDqw"
"1","2024/03/31","ゲオ 東浦和店","-5541","三井住友カード","趣味・娯楽","映画・音楽・ゲーム","","0","UtYXitwuSb_90nIQ8Rw7Z1_9Qfk5FT1SyMCBejc4afU"
"1","2024/03/30","イデミツ(アポロステーション)","-200","楽天カード","自動車","ガソリン","","0","oF_CEmbq4mFjMGOSwQZYaCN_0Ph6Aoc8pHNfACyXuRo"
"1","2024/03/30","イデミツ(アポロステーション)","-200","楽天カード","自動車","ガソリン","","0","JvcMKlKmJUKoRSJCfpzfZcPug_WEyr6U-bEQ26ZpGXI"
"1","2024/03/30","イデミツ(アポロステーション)","-200","楽天カード","自動車","ガソリン","","0","vTil5gl59u0d3Al9HxBac1l5vTT4ajYKR4ulHwZ1pIU"
"1","2024/03/30","イデミツ(アポロステーション)","-200","楽天カード","自動車","ガソリン","","0","r1Hcsg75BkX_lJFwlaTISK4Mh_4tZbCCLRsqLF3WoLE"
"1","2024/03/30","イデミツ(アポロステーション)","-2200","楽天カード","自動車","ガソリン","","0","6oFG3lWd2yzXdjbnuX0Jo3TJSO8clLjJajcdUHVGRrQ"
"1","2024/03/30","イデミツ(アポロステーション)","-3000","楽天カード","自動車","ガソリン","","0","q2LVXZSi1znQ9yG-06XeRz0wyLcyQLtbAiCZt6te8Wc"
"1","2024/03/30","APPLE COM BILL","-1600","楽天カード","通信費","その他通信費","","0","qtLpxw4ztTX8O_aKwPPDkG88yF3zymU2qXswV7XzDtQ"
"1","2024/03/30","APPLE COM BILL","-3200","楽天カード","通信費","その他通信費","","0","hC5PU4ULedpU0dCzvC14nhg90ChbNgkWc2Yc6LW5IrM"
"1","2024/03/30","吉野家東浦和/iD","-993","三井住友カード","食費","外食","","0","FMdKgrC12L5GK6Lq5U2nCUgVIkud-1_nXoGaa1VNuBQ"
"1","2024/03/30","ファミリーマート/iD","-1160","三井住友カード","食費","食料品","","0","uknyyAoLb57S8L6HAPnp2TlPH-ylkjNKaTQwUpTpF_k"
"1","2024/03/30","ファミリーマート/iD","-273","三井住友カード","食費","食料品","","0","wELNGCfTWcsgMzeNtbiamM5n90WJLOxZeyizh_EVe7Q"
