"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/09/30","預金利息","6","楽天銀行","収入","その他入金","","0","OHoZHiaNaRuh6j5kiYEGVWWBTRJYROp40vo7HEwW3c8"
"1","2024/09/30","ドラッグストアセキ大間木店/iD","-667","三井住友カード","日用品","ドラッグストア","","0","rTvCkQHoALnVS4g0Ue0JBlgULk5oT40TIVRyBxKhnUw"
"1","2024/09/30","マクドナルドモバイルオーダー/AP","-550","三井住友カード","食費","外食","","0","wyToMD2XhOsU0odJw3C8YF5ZJF1TBKK8pa6lgujA9LQ"
"1","2024/09/30","為替手数料 フリコミ テスウリヨウ","-154","三菱UFJ銀行","その他","雑費","","0","NfSQByHKk4xd1oCJo7fhTTwaoHfmiURX2DFRzMAPFgo"
"1","2024/09/30","振込IB2 チバ カツユキ","-11000","三菱UFJ銀行","未分類","未分類","","0","i2noas1pLXmmsOOIrhePv1CAst67nFhgqb1-lJGN2vo"
"1","2024/09/29","吉野家東浦和/iD","-1240","三井住友カード","食費","外食","","0","Kg07svmM8TOb1SghDb6S_bgVZU5V9-L4VWYxlRI4a9Y"
"1","2024/09/28","ファミリーマート/iD","-205","三井住友カード","食費","食料品","","0","qpDRtowRLh2pZjhr2INLIoBmtI-jYdfbgWIneM-J9d8"
"1","2024/09/28","飲料自販機/iD","-140","三井住友カード","食費","食料品","","0","BbH9-YtMzUNRcBv10Oy7aSTh070fKdKZpgoxkF03dWc"
"1","2024/09/28","コカ・コーラ Cmode 自販機/iD","-140","三井住友カード","食費","食料品","","0","L340lrzt9xXDmVQ1dYDtT-ZuhQxvK6XN43XtV4qRG-g"
"1","2024/09/28","モバイルSuica(Apple)","-3000","三井住友カード","通信費","その他通信費","","0","ejj6NS6sJOOr5hzbJMCr6ToYpFL_VIUdvk5NGJKhA9Q"
"1","2024/09/28","手数料","-308","三菱UFJ銀行","その他","雑費","","0","QlnsuyUxLYE_5tAk4OsOZYFvnoe8JR32_3hzYnuU3fE"
"1","2024/09/28","カードC1","-20000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","7zVoxxN3HbULj_xMi8lIZekq8ZHKHjxNyZT_2pEMrsY"
"1","2024/09/27","東京電力 電気料金等","-13966","三井住友カード","水道・光熱費","電気代","","0","OB0TLLWk3pSCv7qbyWZbsV9ln1473luVUoP8k_FiaZs"
"1","2024/09/27","ソフトバンクワイモバイルまとめて支払い","-1026","三井住友カード","通信費","携帯電話","","0","iG7BemwOEkVFSMx1MLzZviu04q9r27O88rjzb0WdH0Q"
"1","2024/09/27","GOOGLE PLAY JAPAN","-250","三井住友カード","通信費","情報サービス","","0","IRtrQEArWF9PjjSaQM9WUvwPRe8G6fntGblg-O99Phw"
"1","2024/09/27","口座振替3 NSS.ボスジムジ","-11440","三菱UFJ銀行","未分類","未分類","","0","GWMjB9_a2SMWref7agX_PjP1QxtNw7C6CvpjXPQZNfo"
"1","2024/09/27","口座振替4 オリコ","-8033","三菱UFJ銀行","現金・カード","カード引き落とし","","0","g2lEiOD1yTCUncB1_uGXVkqT9KMMxkNv8UH9Q6E3RDg"
"1","2024/09/26","フローとストック 世界の先が読める「思考」と「知識」の法則 販売: Amazon.co.jp","-1870","Amazon.co.jp","未分類","未分類","","0","H-e_xGu9mzCuuxU5wZHX_YAevRH2mRcanm9kRBr0eac"
"1","2024/09/26","【共通バッテリーシリーズ】アイリスオーヤマ 充電器 10.8V DBLC108 販売: Amazon.co.jp","-2938","Amazon.co.jp","未分類","未分類","","0","gEwJ68l9WL00oAeO90pYY3TIdAGQJ_XWLhRIr2Y3Jfw"
"1","2024/09/26","近与(KONYO) SUN UP ドリルビットセット 10本組 太径6.0mm6.5mm入 #5 (金属・金工) 販売: Amazon.co.jp","-861","Amazon.co.jp","未分類","未分類","","0","D5DIc1AeddkDg-sG_BO5rrSqxH089aZON1X21ysoQTs"
"1","2024/09/26","NOTION LABS, INC. (SAN FRANCISCO)","-21780","三井住友カード","未分類","未分類","","0","dft9WKnGk-vE33AgUpqj4Xuzi6ShY5BJLM_hZg8xeYc"
"1","2024/09/26","吉野家東浦和/iD","-1075","三井住友カード","食費","外食","","0","GyAGAcfWnIOWxB3yyQZtjlgXnVrzCsW4XETlonvMoqY"
