"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/05/31","PayPay 吉野家","-1012","PayPayカード","食費","食費","","0","vN-b6ADs3Qhe-9sP6ueFNjwfdl-oOEiBzEfVY9FMixw"
"1","2024/05/31","PayPay セブンーイレブン","-1160","PayPayカード","食費","食料品","","0","80-8tf0zZHendqTx0Ltkd7cHD6OwrJy3qVfCEutFtlM"
"1","2024/05/31","振込IB2 スエタケ シユウヘイ","-20000","三菱UFJ銀行","未分類","未分類","","0","oDA-c20Ovo1Me1l-YIQZZkJfqt5sfwaFy5n8Jh-BmfI"
"1","2024/05/31","振込1 スエタケ シユウヘイ","140000","三菱UFJ銀行","未分類","未分類","","0","yDhOabCMhl9Md2Fmmu1Yhg1KPIHxehLxRDn3HYa8AoE"
"1","2024/05/30","ポイント","663","Amazon.co.jp","未分類","未分類","","0","uTz0-5tuHBxwBOA6IF4-F4wP4sB8zxtEs_m23Gxgd0c"
"1","2024/05/30","自分の中に毒を持て<新装版>[Kindle 版]","-663","Amazon.co.jp","未分類","未分類","","0","OnGcgd8O0GXLR9NvRb_r_mcwwlqqw2l15Wq4oI7Bf0o"
"1","2024/05/30","ポイント","1336","Amazon.co.jp","未分類","未分類","","0","3xJqL2-vw-zfYy666zVILdrMTv31KTDIeuUwGMTFp4w"
"1","2024/05/30","幸せになる勇気[Kindle 版]","-1336","Amazon.co.jp","未分類","未分類","","0","oCSKAuFvYPyJhxJsd7bwkZNwqTlRy2ofcu8m4raJVoA"
"1","2024/05/30","PayPay ローソン","-279","PayPayカード","食費","食料品","","0","FO9U0RmrqLkxeoQTvDPwCnGcYNT83IxHUKUhEFLs1P0"
"1","2024/05/30","PayPay セブンーイレブン","-617","PayPayカード","食費","食料品","","0","LtiEvDafp3BjctHLxnw2IX8biu493iayamxJcR6tpKA"
"1","2024/05/29","PayPay 吉野家","-908","PayPayカード","食費","食費","","0","JLrLYau49Lk617-ZDbJv60_z5_hUieVG9BrXdHBEBR0"
